,day,hour,month,weekday,avg_hrly_hum,avg_hrly_temp,avg_hrly_press,tot_motion_count,avg_hrly_light,num_psets_due
332,14,4,11,3,18.1,14.05,103348.285,0.0,4095.0,0
333,14,5,11,3,18.1,14.0,103364.195,0.0,4095.0,0
334,14,6,11,3,18.1,13.95,103371.535,0.0,4095.0,0
335,14,7,11,3,18.6,13.85,103397.33,0.0,4095.0,0
336,14,8,11,3,19.1,14.05,103429.63,80.0,2399.5,0
337,14,9,11,3,25.45000000000001,14.15,103388.58,57.0,2059.75,0
338,14,10,11,3,32.2,14.6,103298.29,101.0,2924.583333333333,0
339,14,11,11,3,29.20000000000001,14.65,103180.65,0.0,4024.833333333334,0
340,14,12,11,3,30.9,14.75,103104.705,0.0,4021.833333333334,0
341,14,13,11,3,29.3,15.05,103050.785,0.0,4070.666666666666,0
342,14,14,11,3,28.45000000000001,15.3,102989.565,0.0,4095.0,0
343,14,15,11,3,25.6,15.55,102930.935,0.0,4095.0,0
344,14,16,11,3,25.95000000000001,15.8,102884.61,0.0,4095.0,0
345,14,17,11,3,25.20000000000001,15.95,102832.8,0.0,4095.0,0
346,14,18,11,3,24.9,16.200000000000006,102736.1,0.0,4095.0,0
347,14,19,11,3,24.9,16.4,102677.53,65.0,2893.416666666666,0
348,14,20,11,3,29.85,16.950000000000006,102676.09,23.0,2254.6666666666665,0
349,14,21,11,3,27.65,16.7,102624.945,72.0,3950.833333333334,0
350,14,22,11,3,29.55,16.85,102594.175,33.0,2628.083333333333,0
351,14,23,11,3,27.6,17.0,102560.07,0.0,2337.5,0
352,15,0,11,4,25.5,17.2,102514.155,36.0,3656.916666666666,1
353,15,1,11,4,27.15,17.25,102474.37,0.0,4095.0,1
354,15,2,11,4,23.65,17.5,102407.415,0.0,4095.0,1
355,15,3,11,4,25.25,17.55,102375.24,0.0,4095.0,1
356,15,4,11,4,23.25,17.6,102386.645,0.0,4095.0,1
357,15,5,11,4,25.8,17.6,102363.43,0.0,4095.0,1
358,15,6,11,4,26.1,17.55,102346.885,3.0,4095.0,1
359,15,7,11,4,26.65,17.55,102338.455,0.0,4095.0,1
360,15,8,11,4,26.6,17.700000000000006,102286.65,58.0,3335.333333333333,1
361,15,9,11,4,28.65,17.85,102192.755,115.0,2330.5,1
362,15,10,11,4,32.55,18.0,102079.11,43.0,2229.6666666666665,1
363,15,11,11,4,32.849999999999994,18.15,101973.335,13.0,2133.083333333333,1
364,15,12,11,4,36.0,18.35,101901.23,19.0,2135.4166666666665,1
365,15,13,11,4,37.2,19.0,101881.95,55.0,2129.0,1
366,15,14,11,4,36.1,19.05,101833.54,21.0,2131.583333333333,1
367,15,15,11,4,34.6,19.2,101827.73,21.0,2139.4,1
368,16,9,11,5,17.0,18.15,103426.285,43.0,3831.583333333334,1
369,16,10,11,5,17.65,17.25,103408.27,132.0,3515.166666666666,1
370,16,11,11,5,16.95,17.05,103418.945,0.0,4095.0,1
371,16,12,11,5,16.8,16.85,103406.615,0.0,4095.0,1
372,16,13,11,5,16.5,16.75,103366.545,0.0,4095.0,1
373,16,14,11,5,16.35,16.6,103348.055,27.0,3614.583333333334,1
374,16,15,11,5,16.25,16.5,103331.415,72.0,2905.333333333333,1
375,16,16,11,5,16.2,16.4,103302.81,16.0,2270.833333333333,1
376,16,17,11,5,15.95,16.35,103287.27,76.0,2296.25,1
377,16,18,11,5,15.6,16.3,103264.145,42.0,2302.333333333333,1
378,16,19,11,5,15.6,16.25,103239.215,8.0,2317.833333333333,1
379,16,20,11,5,15.7,16.2,103249.025,0.0,2315.0,1
380,16,21,11,5,15.75,16.15,103244.155,18.0,2313.9166666666665,1
381,16,22,11,5,16.1,16.2,103263.075,16.0,2532.25,1
382,16,23,11,5,18.3,16.1,103303.695,0.0,2601.1666666666665,1
383,17,0,11,6,26.2,16.15,103358.1,63.0,3476.833333333333,0
384,17,1,11,6,31.8,16.35,103402.045,0.0,4095.0,0
385,17,2,11,6,27.55,16.35,103390.77,0.0,4095.0,0
386,17,3,11,6,20.4,16.25,103393.4,0.0,4095.0,0
387,17,4,11,6,20.25,16.25,103437.565,0.0,4095.0,0
