,day,hour,month,weekday,avg_hrly_hum
1772,6,2,12,4,19.45
1774,6,3,12,4,19.4
1776,6,4,12,4,19.4
1778,6,5,12,4,19.25
1780,6,6,12,4,19.1
1782,6,7,12,4,19.1
1784,6,8,12,4,19.35
1786,6,9,12,4,19.45
1788,6,10,12,4,28.95
1790,6,11,12,4,26.3
