,month,day,hour,weekday,avg_hrly_temp
819,11,16,18,5,16.3
821,11,16,19,5,16.25
823,11,16,20,5,16.2
825,11,16,21,5,16.15
827,11,16,22,5,16.2
829,11,16,23,5,16.1
831,11,17,0,6,16.15
833,11,17,1,6,16.35
835,11,17,2,6,16.35
837,11,17,3,6,16.25
839,11,17,4,6,16.25
841,11,17,5,6,16.200000000000003
843,11,17,6,6,16.1
845,11,17,7,6,16.1
847,11,17,8,6,16.05
849,11,17,9,6,16.0
851,11,17,10,6,15.9
853,11,17,11,6,16.0
855,11,17,12,6,15.95
857,11,17,13,6,15.75
859,11,17,14,6,15.649999999999999
861,11,17,15,6,15.5
863,11,17,16,6,15.5
865,11,17,17,6,15.45
867,11,17,18,6,15.350000000000001
869,11,17,19,6,15.3
871,11,17,20,6,15.2
873,11,17,21,6,15.149999999999999
875,11,17,22,6,15.05
877,11,17,23,6,14.95
879,11,18,0,0,14.9
881,11,18,1,0,14.75
883,11,18,2,0,14.75
885,11,18,3,0,14.649999999999999
887,11,18,4,0,14.6
889,11,18,5,0,14.5
891,11,18,6,0,14.5
893,11,18,7,0,14.5
895,11,18,8,0,14.45
897,11,18,9,0,14.5
899,11,18,10,0,14.55
901,11,18,11,0,14.45
903,11,18,12,0,14.6
905,11,18,13,0,14.8
907,11,18,14,0,14.75
909,11,18,15,0,14.95
911,11,18,16,0,15.05
913,11,18,17,0,14.95
915,11,18,18,0,15.0
917,11,18,19,0,14.95
919,11,18,20,0,15.0
921,11,18,21,0,15.0
923,11,18,22,0,15.149999999999999
925,11,18,23,0,15.25
927,11,19,0,1,15.25
929,11,19,1,1,15.3
931,11,19,2,1,15.3
933,11,19,3,1,15.3
935,11,19,4,1,15.4
937,11,19,5,1,15.4
939,11,19,6,1,15.4
941,11,19,7,1,15.45
943,11,19,8,1,15.55
945,11,19,9,1,15.7
947,11,19,10,1,15.8
949,11,19,11,1,15.850000000000001
951,11,19,12,1,15.95
953,11,19,13,1,15.95
955,11,19,14,1,16.0
957,11,19,15,1,16.0
959,11,19,16,1,16.0
961,11,19,17,1,16.0
963,11,19,18,1,15.95
965,11,19,19,1,16.0
967,11,19,20,1,16.0
969,11,19,21,1,15.95
971,11,19,22,1,16.05
973,11,19,23,1,15.95
975,11,20,0,2,15.9
977,11,20,1,2,15.9
979,11,20,2,2,15.9
981,11,20,3,2,15.9
983,11,20,4,2,15.95
985,11,20,5,2,15.85
987,11,20,6,2,15.95
989,11,20,7,2,16.05
991,11,20,8,2,16.25
993,11,20,9,2,16.15
995,11,20,10,2,16.1
997,11,20,11,2,16.05
999,11,20,12,2,16.1
1001,11,20,13,2,16.1
1003,11,20,14,2,16.05
1005,11,20,15,2,16.2
1007,11,20,16,2,16.2
1009,11,20,17,2,16.25
1011,11,20,18,2,16.3
1013,11,20,19,2,16.3
1015,11,20,20,2,16.4
1017,11,20,21,2,16.4
1019,11,20,22,2,16.5
1021,11,20,23,2,16.5
1023,11,21,0,3,16.55
1025,11,21,1,3,16.6
1027,11,21,2,3,16.75
1029,11,21,3,3,16.95
1031,11,21,4,3,17.0
1033,11,21,5,3,17.0
1035,11,21,6,3,16.8
1037,11,21,7,3,16.85
1039,11,21,8,3,18.0
1041,11,21,9,3,17.95
1043,11,21,10,3,17.925
1045,11,21,11,3,17.95
1047,11,21,12,3,18.025
1049,11,21,13,3,18.15
1051,11,21,14,3,18.200000000000003
1053,11,21,15,3,18.25
1055,11,21,16,3,18.375
1057,11,21,17,3,18.45
1059,11,21,18,3,18.55
1061,11,21,19,3,18.6
1063,11,21,20,3,18.675
1065,11,21,21,3,18.724999999999998
1067,11,21,22,3,18.775
1069,11,21,23,3,18.85
1071,11,22,0,4,18.825
1073,11,22,1,4,18.9
1075,11,22,2,4,18.9
1077,11,22,3,4,19.0
1079,11,22,4,4,19.125
