,month,day,hour,avg_hrly_light
731,11,29,2,4095.0
743,11,29,3,4095.0
755,11,29,4,4095.0
767,11,29,5,4095.0
779,11,29,6,4095.0
791,11,29,7,4095.0
803,11,29,8,4095.0
815,11,29,9,4095.0
827,11,29,10,4095.0
839,11,29,11,4095.0
851,11,29,12,4095.0
863,11,29,13,4095.0
875,11,29,14,4095.0
887,11,29,15,4095.0
899,11,29,16,4095.0
911,11,29,17,4095.0
923,11,29,18,4095.0
935,11,29,19,4095.0
947,11,29,20,4095.0
959,11,29,21,4095.0
971,11,29,22,4095.0
983,11,29,23,4095.0
995,11,30,0,4095.0
1007,11,30,1,4095.0
1019,11,30,2,4095.0
1031,11,30,3,4095.0
1043,11,30,4,4095.0
1055,11,30,5,4095.0
1067,11,30,6,4095.0
1079,11,30,7,4095.0
1091,11,30,8,4095.0
1103,11,30,9,4095.0
1115,11,30,10,4095.0
1127,11,30,11,4095.0
1139,11,30,12,4095.0
1151,11,30,13,4095.0
1163,11,30,14,4095.0
1175,11,30,15,4095.0
1187,11,30,16,4095.0
